filename,label,feature,value,z_score
macedonian15.wav,Human,loudness_sma3_percentile50.0,1.348735,5.82
english113.wav,Human,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,1297.2333,5.81
english260.wav,Human,loudness_sma3_pctlrange0-2,2.0112062,5.81
english260.wav,Human,loudness_sma3_meanFallingSlope,20.967808,5.8
arabic17.wav,Human,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,1294.5521,5.8
spanish110.wav,Human,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,529.8672,5.79
english56.wav,Human,F1bandwidth_sma3nz_amean,890.02954,5.79
english113.wav,Human,alphaRatioV_sma3nz_stddevNorm,-7.916974,5.78
english492.wav,Human,mfcc2_sma3_stddevNorm,440.5297,5.78
hindi2.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,23.340912,5.75
english495.wav,Human,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.5966607,5.74
norwegian3.wav,Human,F1bandwidth_sma3nz_stddevNorm,0.41115057,5.73
english238.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,23.250126,5.73
english265.wav,Human,loudness_sma3_stddevFallingSlope,12.510174,5.7
english469.wav,Human,jitterLocal_sma3nz_amean,0.05751546,5.69
finnish4.wav,Human,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,1052.8986,5.67
english276.wav,Human,StddevVoicedSegmentLengthSec,0.34860522,5.66
english315.wav,Human,MeanUnvoicedSegmentLength,0.6923333,5.66
macedonian19.wav,Human,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,1049.7296,5.65
spanish105.wav,Human,loudness_sma3_stddevFallingSlope,12.413815,5.64
english439.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,22.983444,5.64
english450.wav,Human,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.086104356,5.63
english276.wav,Human,MeanVoicedSegmentLengthSec,0.4272222,5.59
macedonian16.wav,Human,loudness_sma3_pctlrange0-2,1.9591515,5.57
farsi12.wav,Human,alphaRatioV_sma3nz_stddevNorm,6.3671837,5.56
english413.wav,Human,mfcc3V_sma3nz_stddevNorm,124.52026,5.53
korean11.wav,Human,loudness_sma3_percentile50.0,1.3010088,5.51
slovak4.wav,Human,loudness_sma3_stddevRisingSlope,13.703254,5.51
russian19.wav,Human,spectralFluxV_sma3nz_amean,1.2373507,5.51
english315.wav,Human,spectralFluxUV_sma3nz_amean,0.66282,5.51
english495.wav,Human,F1frequency_sma3nz_amean,1045.8026,5.49
bai1.wav,Human,loudness_sma3_stddevNorm,1.4091164,5.48
norwegian3.wav,Human,hammarbergIndexV_sma3nz_stddevNorm,2.371182,5.48
macedonian6.wav,Human,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,1022.71893,5.48
mandarin19.wav,Human,loudness_sma3_pctlrange0-2,1.937342,5.48
macedonian16.wav,Human,loudness_sma3_percentile50.0,1.2929783,5.45
turkish15.wav,Human,mfcc1_sma3_stddevNorm,-15.801523,5.45
english303.wav,Human,logRelF0-H1-A3_sma3nz_amean,-12.850481,5.45
spanish7.wav,Human,mfcc2V_sma3nz_stddevNorm,141.14465,5.44
japanese17.wav,Human,loudness_sma3_stddevRisingSlope,13.598194,5.44
english245.wav,Human,spectralFluxV_sma3nz_stddevNorm,1.2823256,5.43
burmese2.wav,Human,jitterLocal_sma3nz_amean,0.05588687,5.43
english450.wav,Human,alphaRatioV_sma3nz_amean,11.296143,5.42
english23.wav,Human,spectralFlux_sma3_stddevNorm,1.9093496,5.41
macedonian16.wav,Human,spectralFlux_sma3_amean,0.8464054,5.41
romanian15.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,22.15266,5.39
shona2.wav,Human,logRelF0-H1-A3_sma3nz_amean,-12.364084,5.38
italian29.wav,Human,loudness_sma3_meanRisingSlope,24.812353,5.37
english168.wav,Human,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,1004.8336,5.37
romanian1.wav,Human,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,1002.8978,5.36
2026-03-08 16-18-01.wav,AI,slopeUV500-1500_sma3nz_amean,0.05096287,5.36
english569.wav,Human,mfcc2_sma3_stddevNorm,408.47675,5.36
shona2.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,22.01011,5.34
english450.wav,Human,hammarbergIndexV_sma3nz_amean,-4.519206,5.34
italian29.wav,Human,loudness_sma3_stddevRisingSlope,13.430332,5.33
italian29.wav,Human,spectralFlux_sma3_amean,0.8375966,5.33
bulgarian11.wav,Human,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,493.07263,5.32
cantonese12.wav,Human,hammarbergIndexV_sma3nz_stddevNorm,2.3128276,5.31
russian19.wav,Human,spectralFlux_sma3_amean,0.83411163,5.3
turkish16.wav,Human,alphaRatioV_sma3nz_stddevNorm,6.033252,5.3
cantonese12.wav,Human,F3amplitudeLogRelF0_sma3nz_stddevNorm,-1.2578268,5.29
2026-03-08 16-09-45.wav,AI,slopeUV500-1500_sma3nz_amean,0.050257854,5.28
maltese2.wav,Human,logRelF0-H1-H2_sma3nz_amean,33.07267,5.28
turkish15.wav,Human,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.13233456,5.26
